1,Eli Lilly,LLY,961.28,Pharmaceuticals,https://finviz.com/quote?t=LLY&p=d,LLY - Lilly(Eli) & Co Stock Price and Quote
2,J&J,JNJ,222.54,Pharmaceuticals V,https://finviz.com/quote?t=JNJ&p=d,JNJ - Johnson & Johnson Stock Price and Quote
3,AbbVie,ABBV,204.45,Biopharmaceuticals,https://finviz.com/quote?t=ABBV&p=d,ABBV - Abbvie Inc Stock Price and Quote
4,Roche Holding AG,RHO,356,Pharmaceuticals,,
5,UnitedHealth,UNH,367.55,Health Care Plans,https://finviz.com/quote?t=UNH&p=d,UNH - Unitedhealth Group Inc Stock Price and Quote
6,Roche Holding AG Genussscheine,RHOA,346.29,Pharmaceutical Company,,
7,Astra Zeneca PLC,AZN,184.26,Biopharmaceutical Company,https://finviz.com/quote?t=AZN&p=d,AZN - Astrazeneca plc Stock Price and Quote
8,Merck,MRK,111.98,Prescription Drugs V,https://finviz.com/quote?t=MRK&p=d,MRK - Merck & Co Inc Stock Price and Quote
9,Novartis AG,NVS,124.21,Global pharmaceutical manufactu...,https://finviz.com/quote?t=NVS&p=d,NVS - Novartis AG ADR Stock Price and Quote
10,Amgen,AMGN,333.61,Biotechnology,https://finviz.com/quote?t=AMGN&p=d,AMGN - AMGEN Inc Stock Price and Quote
11,Thermo Fisher Scientific,TMO,473.38,Medical Instruments,https://finviz.com/quote?t=TMO&p=d,TMO - Thermo Fisher Scientific Inc Stock Price and Quote
12,Gilead Sciences,GILD,126.34,Biopharmaceuticals,https://finviz.com/quote?t=GILD&p=d,GILD - Gilead Sciences Inc Stock Price and Quote
13,Intuitive Surgical,ISRG,447.84,Surgical Tools,https://finviz.com/quote?t=ISRG&p=d,ISRG - Intuitive Surgical Inc Stock Price and Quote
14,Pfizer,PFE,26.52,Pharmaceuticals,https://finviz.com/quote?t=PFE&p=d,PFE - Pfizer Inc Stock Price and Quote
